user_verified,user_followers_count,is_quoted_tweet,quote_count,reply_count,favorite_count,word_count,hash_count,sentiment
0.0,649.0,0.0,0.0,0.0,0,13,2,-0.4019
0.0,371.0,0.0,0.0,0.0,0,10,2,0.0
0.0,8488.0,0.0,0.0,0.0,5,34,1,-0.9477
0.0,1946.0,1.0,0.0,0.0,6,21,0,0.7717
0.0,275.0,1.0,0.0,0.0,0,8,0,0.5423
0.0,75.0,1.0,0.0,0.0,2,50,2,-0.8032
0.0,305.0,0.0,0.0,0.0,39,50,0,-0.368
0.0,233.0,1.0,0.0,0.0,25,4,0,0.6249
0.0,73.0,0.0,0.0,0.0,0,39,0,0.8591
0.0,2618.0,1.0,0.0,0.0,1,15,0,-0.34
0.0,1398.0,1.0,0.0,0.0,0,12,0,-0.3612
0.0,2105.0,0.0,0.0,0.0,0,16,1,0.6908
0.0,284.0,0.0,0.0,0.0,0,12,1,0.0
1.0,57986.0,1.0,0.0,0.0,16,5,1,0.4215
0.0,5984.0,0.0,0.0,0.0,2,47,1,-0.296
0.0,13.0,1.0,0.0,0.0,1,30,3,-0.7184
0.0,2389.0,0.0,0.0,0.0,3,43,3,-0.7375
0.0,36.0,1.0,0.0,0.0,0,14,2,0.3182
0.0,951.0,0.0,0.0,0.0,0,25,0,-0.3818
0.0,951.0,0.0,0.0,0.0,0,24,0,-0.3818
0.0,481.0,1.0,0.0,0.0,1,47,0,0.6597
0.0,23701.0,0.0,0.0,0.0,0,25,3,0.0
0.0,19.0,0.0,0.0,0.0,1,14,2,0.0
0.0,0.0,0.0,0.0,0.0,0,10,4,-0.5994
0.0,7.0,1.0,0.0,0.0,0,39,0,0.2575
0.0,371.0,0.0,0.0,0.0,0,23,0,0.0
0.0,276.0,1.0,0.0,0.0,0,5,0,-0.4215
0.0,951.0,0.0,0.0,0.0,0,25,0,-0.3818
0.0,29.0,0.0,0.0,0.0,2,55,0,0.3182
0.0,1023.0,0.0,0.0,0.0,7,10,1,-0.1007
0.0,50.0,0.0,0.0,0.0,0,17,2,0.0
0.0,38.0,0.0,0.0,0.0,0,25,2,-0.2263
0.0,114.0,0.0,0.0,0.0,1,26,1,0.4118
0.0,951.0,0.0,0.0,0.0,0,24,0,-0.3818
0.0,64.0,0.0,0.0,0.0,0,36,2,-0.296
0.0,7419.0,1.0,0.0,0.0,1,4,2,0.0
0.0,951.0,0.0,0.0,0.0,0,25,0,-0.3818
0.0,146.0,0.0,0.0,0.0,0,22,3,-0.8316
0.0,12.0,0.0,0.0,0.0,3,30,1,0.0772
0.0,625.0,1.0,0.0,0.0,0,16,0,0.0
0.0,5727.0,0.0,0.0,0.0,0,12,3,0.4404
0.0,562.0,0.0,0.0,0.0,2,24,2,-0.1027
0.0,1580.0,1.0,0.0,0.0,0,22,0,0.8708
0.0,2272.0,0.0,0.0,0.0,29,8,1,0.0
0.0,951.0,0.0,0.0,0.0,0,25,0,-0.3818
0.0,42.0,1.0,0.0,0.0,1,40,0,0.0503
0.0,45.0,0.0,0.0,0.0,0,19,1,0.0
0.0,25.0,1.0,0.0,0.0,13,22,0,-0.7579
0.0,0.0,1.0,0.0,0.0,0,14,0,-0.765
0.0,649.0,0.0,0.0,0.0,1,20,1,-0.2263
0.0,195.0,0.0,0.0,0.0,1,11,1,-0.4404
0.0,2618.0,0.0,0.0,0.0,0,21,3,-0.5267
0.0,253.0,0.0,0.0,0.0,1,41,0,-0.5423
0.0,52.0,0.0,0.0,0.0,0,25,1,-0.7184
0.0,868.0,0.0,0.0,0.0,2,17,3,-0.3182
0.0,830.0,1.0,0.0,0.0,0,2,0,0.0
0.0,116.0,0.0,0.0,0.0,1,18,1,0.4767
0.0,3875.0,0.0,0.0,0.0,0,41,2,0.5269
0.0,296.0,0.0,0.0,0.0,7,19,1,0.0
0.0,371.0,0.0,0.0,0.0,0,10,1,0.4019
0.0,1390.0,1.0,0.0,0.0,0,13,0,0.0
0.0,15.0,0.0,0.0,0.0,1,51,0,0.1511
0.0,817.0,1.0,0.0,0.0,1,7,0,-0.6486
0.0,1104.0,0.0,0.0,0.0,1,38,1,-0.8748
0.0,414.0,1.0,0.0,0.0,1,18,1,0.7376
0.0,2597.0,0.0,0.0,0.0,3,27,2,-0.296
0.0,202.0,1.0,0.0,0.0,0,24,0,-0.631
0.0,13.0,1.0,0.0,0.0,2,32,2,-0.8519
0.0,270.0,0.0,0.0,0.0,1,31,0,-0.8689
0.0,24212.0,1.0,0.0,0.0,9,4,0,0.0
0.0,10812.0,0.0,0.0,0.0,0,24,1,-0.296
0.0,16.0,1.0,0.0,0.0,0,26,1,-0.8658
0.0,1647.0,1.0,0.0,0.0,0,8,0,0.471
0.0,0.0,0.0,0.0,0.0,1,27,0,-0.1531
0.0,22.0,1.0,0.0,0.0,0,18,0,0.3182
0.0,2155.0,1.0,0.0,0.0,2,29,1,0.4019
0.0,489.0,0.0,0.0,0.0,0,12,3,-0.1531
0.0,306.0,1.0,0.0,0.0,1,18,1,-0.34
0.0,2091.0,1.0,0.0,0.0,2,12,0,-0.25
0.0,52.0,1.0,0.0,0.0,0,3,1,0.5106
0.0,50635.0,0.0,0.0,0.0,5,36,0,-0.793
0.0,247.0,0.0,0.0,0.0,0,12,1,-0.4005
0.0,9350.0,0.0,0.0,0.0,8,11,1,0.4767
0.0,951.0,0.0,0.0,0.0,0,19,1,-0.3818
0.0,385.0,0.0,0.0,0.0,0,16,1,0.4404
0.0,5.0,0.0,0.0,0.0,0,17,2,-0.7579
0.0,73.0,0.0,0.0,0.0,0,38,0,0.8591
0.0,154.0,1.0,0.0,0.0,0,25,0,0.0772
0.0,5.0,0.0,0.0,0.0,0,22,0,-0.4404
0.0,165.0,0.0,0.0,0.0,2,41,2,0.6908
0.0,257.0,1.0,0.0,0.0,0,21,0,-0.4939
0.0,7145.0,0.0,0.0,0.0,0,12,1,0.0
0.0,3371.0,0.0,0.0,0.0,0,20,2,0.0
0.0,371.0,0.0,0.0,0.0,0,9,1,0.0
0.0,0.0,0.0,0.0,0.0,0,11,3,0.1531
0.0,13752.0,0.0,0.0,0.0,3,11,1,0.4767
0.0,14243.0,0.0,0.0,0.0,0,18,1,0.4404
0.0,24.0,0.0,0.0,0.0,0,19,1,0.6381
0.0,101573.0,0.0,0.0,0.0,5,19,2,0.0
0.0,19904.0,0.0,0.0,0.0,0,15,5,0.3612
0.0,531.0,1.0,0.0,0.0,2,28,0,-0.3612
0.0,9791.0,1.0,0.0,0.0,4,30,2,0.4939
0.0,1453.0,1.0,0.0,0.0,1,27,0,-0.7096
0.0,861.0,1.0,0.0,0.0,1,2,0,-0.2023
0.0,54.0,0.0,0.0,0.0,1,13,2,0.0
0.0,1407.0,1.0,0.0,0.0,1,8,0,0.0
0.0,2529.0,0.0,0.0,0.0,1,22,1,-0.765
0.0,673.0,0.0,0.0,0.0,0,16,1,-0.4939
0.0,401.0,1.0,0.0,0.0,0,24,0,-0.5719
0.0,19904.0,0.0,0.0,0.0,0,18,4,0.3612
0.0,24941.0,0.0,0.0,0.0,1,15,1,0.0
0.0,84.0,0.0,0.0,0.0,0,21,4,-0.25
1.0,11939.0,1.0,0.0,0.0,0,8,0,0.3612
0.0,50.0,0.0,0.0,0.0,0,15,3,-0.6597
0.0,290.0,0.0,0.0,0.0,0,5,2,0.0
1.0,9186.0,0.0,0.0,0.0,11,37,1,0.6428
0.0,1333.0,0.0,0.0,0.0,2,41,0,0.5859
0.0,14243.0,0.0,0.0,0.0,1,18,2,0.0516
0.0,371.0,0.0,0.0,0.0,0,14,1,-0.1027
0.0,5984.0,0.0,0.0,0.0,4,48,1,-0.5574
0.0,1083.0,1.0,0.0,0.0,1,12,3,0.7845
0.0,270.0,0.0,0.0,0.0,0,40,0,-0.624
0.0,2287.0,0.0,0.0,0.0,0,8,1,-0.7269
0.0,1755.0,1.0,0.0,0.0,1,18,0,-0.4019
0.0,105.0,1.0,0.0,0.0,4,40,1,0.8313
0.0,56.0,0.0,0.0,0.0,4,20,3,0.1759
0.0,1390.0,1.0,0.0,0.0,0,13,0,0.3885
0.0,3385.0,0.0,0.0,0.0,0,41,1,-0.685
0.0,160.0,0.0,0.0,0.0,0,32,1,-0.8442
0.0,951.0,0.0,0.0,0.0,0,23,0,-0.3818
0.0,734.0,0.0,0.0,0.0,0,44,0,0.4019
0.0,3.0,0.0,0.0,0.0,0,25,1,-0.4215
0.0,1466.0,1.0,0.0,0.0,0,29,2,-0.5256
0.0,379.0,0.0,0.0,0.0,3,21,2,-0.6597
